statement,entity,year,line_item,label_key,metric,value_rm,source_sheet
Balance sheet,Company,2016,Investments in subsidiaries,non-current assets: investments in subsidiaries,,1032.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Deferred revenue on ticket sales,non-current liabilities: deferred revenue on ticket sales,deferred_revenue_non_current,633.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Provisions,non-current liabilities: provisions,provisions_non_current,2291.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Non-current prepayments,non-current prepayments,,1880.0,Balance sheet 2015-2017
Balance sheet,Company,2016,"Property, aircraft and equipment","property, aircraft and equipment",ppe,3146.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Reserves,reserves,reserves,391.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Retirement benefit asset,retirement benefit asset,,38.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Retirement benefit obligation,retirement benefit obligation,,128.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Share capital,share capital,share_capital,13126.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Total assets,total assets,total_assets,16751.0,Balance sheet 2015-2017
Balance sheet,Company,2016,total current assets,total current assets,current_assets,10190.0,Balance sheet 2015-2017
Balance sheet,Company,2016,total current liabilities,total current liabilities,current_liabilities,18058.0,Balance sheet 2015-2017
Balance sheet,Company,2016,total equity,total equity,total_equity,-12159.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Total equity and liabilities,total equity and liabilities,total_equity_and_liabilities,16751.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Total liabilities,total liabilities,total_liabilities,28910.0,Balance sheet 2015-2017
Balance sheet,Company,2016,total non-current assets,total non-current assets,non_current_assets,6462.0,Balance sheet 2015-2017
Balance sheet,Company,2016,total non-current liabilities,total non-current liabilities,non_current_liabilities,10852.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Trade and other payables,trade and other payables,payables,6352.0,Balance sheet 2015-2017
Balance sheet,Company,2016,Trade and other receivables,trade and other receivables,receivables,6640.0,Balance sheet 2015-2017
Balance sheet,Company,2017,Accumulated Loss,accumulated loss,accumulated_loss,-32188.0,Balance Sheet
Balance sheet,Company,2017,Amounts payable to subsidiaries,amounts payable to subsidiaries,,357.0,Balance Sheet
Balance sheet,Company,2017,Bank overdraft,bank overdraft,bank_overdraft,663.0,Balance Sheet
Balance sheet,Company,2017,Cash and cash equivalents,cash and cash equivalents,cash,2212.0,Balance Sheet
Balance sheet,Company,2017,Aircraft and other deposits,current assets: aircraft and other deposits,,659.0,Balance Sheet
Balance sheet,Company,2017,Amounts receivable from subsidiaries,current assets: amounts receivable from subsidiaries,,1212.0,Balance Sheet
Balance sheet,Company,2017,Derivatives,current assets: derivatives,,34.0,Balance Sheet
Balance sheet,Company,2017,Deferred revenue on ticket sales,current liabilities: deferred revenue on ticket sales,deferred_revenue_current,4158.0,Balance Sheet
Balance sheet,Company,2017,Derivatives,current liabilities: derivatives,,1.0,Balance Sheet
Balance sheet,Company,2017,Provisions,current liabilities: provisions,provisions_current,995.0,Balance Sheet
Balance sheet,Company,2017,Current portion of long–term loans,current portion of long-term loans,current_portion_loans,8133.0,Balance Sheet
Balance sheet,Company,2017,Intangible assets,intangible assets,intangibles,224.0,Balance Sheet
Balance sheet,Company,2017,Inventories,inventories,inventories,89.0,Balance Sheet
Balance sheet,Company,2017,Investments,investments,,29.0,Balance Sheet
Balance sheet,Company,2017,Long–term loans,long-term loans,long_term_loans,7800.0,Balance Sheet
Balance sheet,Company,2017,"Non–current assets classified as held–for–sale
and assets of disposal groups",non-current assets classified as held-for-sale and assets of disposal groups,,99.0,Balance Sheet
Balance sheet,Company,2017,Aircraft and other deposits,non-current assets: aircraft and other deposits,,2617.0,Balance Sheet
Balance sheet,Company,2017,Investments in subsidiaries,non-current assets: investments in subsidiaries,,336.0,Balance Sheet
Balance sheet,Company,2017,Deferred revenue on ticket sales,non-current liabilities: deferred revenue on ticket sales,deferred_revenue_non_current,668.0,Balance Sheet
Balance sheet,Company,2017,Provisions,non-current liabilities: provisions,provisions_non_current,2314.0,Balance Sheet
Balance sheet,Company,2017,Non-current prepayments,non-current prepayments,,1710.0,Balance sheet 2015-2017
Balance sheet,Company,2017,Other long–term liabilities,other long-term liabilities,,253.0,Balance Sheet
Balance sheet,Company,2017,"Property, aircraft and equipment","property, aircraft and equipment",ppe,3114.0,Balance Sheet
Balance sheet,Company,2017,Reserves,reserves,reserves,446.0,Balance Sheet
Balance sheet,Company,2017,Retirement benefit asset,retirement benefit asset,,26.0,Balance Sheet
Balance sheet,Company,2017,Retirement benefit obligation,retirement benefit obligation,,121.0,Balance Sheet
Balance sheet,Company,2017,Share capital,share capital,share_capital,13126.0,Balance Sheet
Balance sheet,Company,2017,Total assets,total assets,total_assets,14570.0,Balance Sheet
Balance sheet,Company,2017,total current assets,total current assets,current_assets,8154.0,Balance Sheet
Balance sheet,Company,2017,total current liabilities,total current liabilities,current_liabilities,22030.0,Balance Sheet
